STUDENT ID,Student_Age,Sex,Graduated_high_school_type,Scholarship_type,Additional_work,Regular artistic or sports activity,Do you have a partner,Total_salary_if_available,Transportation to the university,Accommodation_type,Mothers_education,Fathers_education ,Number_of_sisters/brothers,Parental_status,Mothers_occupation,Fathers_occupation,Weekly_study_hours,Reading_frequency_noScience,Reading_frequency_science,Attendance_to_the_seminars,Impact of your projects/activities on your success,Attendance_to_classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative_GPA,Expected_GPA,COURSE_ID,GRADE
STUDENT11,18-21,female,private,50%,No,No,No,USD 271-340,Private car/taxi,With family,High school,University,2,Married,Government officer,Government officer,None,None,None,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,Less than 2.00,Less than 2.00,First Semester,DC
STUDENT12,18-21,female,private,75%,Yes,Yes,No,USD 341-410,Private car/taxi,With family,MSc.,MSc.,1,Married,Government officer,Government officer,6-10 hours,Often,Often,Yes,Neutral,Always,Not applicable,Regularly during the semester,Always,Never,Always,Not applicable,3.00-3.49,2.50-2.99,First Semester,Fail
STUDENT13,18-21,female,private,75%,No,No,No,USD 135-200,Bus,Rental,High school,MSc.,4,Divorced,Housewife,Government officer,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not applicable,3.00-3.49,2.00-2.49,First Semester,Fail
STUDENT14,22-25,female,state,Full,No,No,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Private sector employee,None,Sometimes,None,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Sometimes,Always,Not applicable,3.00-3.49,2.00-2.49,First Semester,DD
STUDENT15,above 26,male,state,75%,Yes,Yes,No,USD 271-340,Other,Dormitory,High school,Primary school,2,Married,Private sector employee,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Always,Sometimes,Not useful,3.00-3.49,3.00-3.49,First Semester,DC
STUDENT16,22-25,male,state,50%,No,No,No,USD 135-200,Bus,Dormitory,University,University,2,Married,Government officer,Retired,Less than 5 hours,Sometimes,Sometimes,No,Neutral,Sometimes,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not applicable,2.00-2.49,2.00-2.49,First Semester,DC
STUDENT17,18-21,female,state,Full,No,Yes,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,4,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Sometimes,Always,Not applicable,3.00-3.49,2.50-2.99,First Semester,DD
STUDENT18,22-25,male,state,50%,No,No,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,No,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,2.00-2.49,2.00-2.49,First Semester,DC
STUDENT19,18-21,female,state,75%,No,No,No,USD 271-340,Bus,Rental,Secondary school,Secondary school,5 or above,Married,Housewife,Other,More than 20 hours,Often,Sometimes,No,Positive,Sometimes,Alone,Closest date to the exam,Always,Never,Always,Not applicable,2.50-2.99,2.50-2.99,First Semester,DC
STUDENT20,18-21,male,private,50%,No,No,Yes,USD 201-270,Private car/taxi,Dormitory,High school,High school,3,Married,Housewife,Self-employment,11-20 hours,Sometimes,Sometimes,Yes,Negative,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not applicable,2.00-2.49,2.50-2.99,First Semester,CC
STUDENT21,18-21,male,state,Full,Yes,No,Yes,USD 135-200,Other,Dormitory,High school,High school,3,Divorced,Housewife,Private sector employee,11-20 hours,Sometimes,Sometimes,No,Positive,Always,Alone,Regularly during the semester,Always,Never,Sometimes,Not applicable,3.00-3.49,3.00-3.49,First Semester,DD
STUDENT22,18-21,male,state,Full,No,No,Yes,USD 135-200,Other,Dormitory,Secondary school,Secondary school,4,Married,Housewife,Private sector employee,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Never,Always,Not applicable,2.50-2.99,2.50-2.99,First Semester,DD
STUDENT23,22-25,male,state,50%,Yes,No,Yes,USD 135-200,Bus,Rental,Primary school,Primary school,4,Divorced,Housewife,Self-employment,6-10 hours,Often,Often,Yes,Positive,Always,Alone,Regularly during the semester,Always,Never,Sometimes,Not applicable,2.50-2.99,2.50-2.99,First Semester,CC
STUDENT24,above 26,male,state,25%,Yes,Yes,No,above 410,Bus,Rental,Primary school,University,3,Married,Housewife,Retired,6-10 hours,Sometimes,Often,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Sometimes,Always,Not applicable,2.50-2.99,2.50-2.99,First Semester,DD
STUDENT25,22-25,male,state,50%,No,No,No,USD 201-270,Bus,Rental,High school,Primary school,3,Married,Housewife,Self-employment,None,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Never,Always,Useful,3.00-3.49,3.00-3.49,First Semester,DC
STUDENT26,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,Dormitory,Primary school,University,3,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Never,Always,Useful,Less than 2.00,2.00-2.49,First Semester,CC
STUDENT27,22-25,male,state,50%,No,Yes,Yes,USD 135-200,Bus,Rental,University,University,4,Married,Housewife,Self-employment,Less than 5 hours,Often,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Always,Useful,2.00-2.49,Less than 2.00,First Semester,DD
STUDENT28,18-21,male,private,50%,Yes,No,No,USD 135-200,Bus,Rental,Primary school,Primary school,4,Married,Housewife,Private sector employee,6-10 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Never,Sometimes,Not useful,2.00-2.49,Less than 2.00,First Semester,DD
STUDENT29,above 26,male,state,50%,No,No,Yes,USD 135-200,Other,Dormitory,Secondary school,Secondary school,4,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Not applicable,Above 3.49,3.00-3.49,First Semester,CC
STUDENT30,22-25,male,other,75%,No,No,No,USD 135-200,Other,Dormitory,High school,High school,2,Married,Private sector employee,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Useful,3.00-3.49,2.50-2.99,First Semester,BB
STUDENT31,22-25,male,state,Full,Yes,Yes,Yes,USD 135-200,Bus,Dormitory,Primary school,Primary school,5 or above,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,With friends,Closest date to the exam,Sometimes,Always,Always,Not applicable,Above 3.49,3.00-3.49,First Semester,BB
STUDENT32,above 26,male,state,50%,Yes,No,No,USD 135-200,Bus,Dormitory,Primary school,Secondary school,4,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Often,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Not applicable,3.00-3.49,2.50-2.99,First Semester,CC
STUDENT33,22-25,female,state,50%,No,No,No,USD 201-270,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not useful,2.00-2.49,2.50-2.99,First Semester,DD
STUDENT34,22-25,female,state,50%,Yes,No,Yes,USD 135-200,Bus,Rental,Primary school,Secondary school,5 or above,Married,Housewife,Private sector employee,Less than 5 hours,None,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Never,Always,Sometimes,Useful,2.00-2.49,2.50-2.99,First Semester,DC
STUDENT35,18-21,male,private,50%,No,No,Yes,USD 201-270,Bus,Rental,High school,High school,3,Married,Housewife,Self-employment,Less than 5 hours,None,None,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Always,Not useful,3.00-3.49,Less than 2.00,First Semester,DC
STUDENT36,18-21,male,private,75%,No,No,No,USD 271-340,Bus,Rental,Primary school,Secondary school,5 or above,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Never,Always,Not useful,Less than 2.00,Less than 2.00,First Semester,DD
STUDENT37,22-25,male,other,75%,Yes,No,Yes,USD 271-340,Bus,Rental,Primary school,Primary school,2,Divorced,Private sector employee,Private sector employee,None,None,Often,Yes,Positive,Sometimes,With friends,Closest date to the exam,Sometimes,Never,Sometimes,Not useful,3.00-3.49,2.50-2.99,First Semester,DC
STUDENT38,22-25,male,state,50%,Yes,Yes,Yes,USD 201-270,Private car/taxi,With family,High school,High school,1,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Not applicable,Above 3.49,3.00-3.49,First Semester,DD
STUDENT39,22-25,male,state,Full,No,No,No,USD 135-200,Bus,Rental,High school,High school,1,Married,Housewife,Self-employment,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,With friends,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,3.00-3.49,2.50-2.99,First Semester,DC
STUDENT40,22-25,female,state,50%,No,No,Yes,USD 135-200,Bus,Dormitory,Primary school,High school,1,Married,Housewife,Self-employment,None,Sometimes,None,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not applicable,2.00-2.49,Less than 2.00,First Semester,DD
STUDENT41,18-21,male,private,50%,No,No,No,USD 201-270,Bus,Rental,Secondary school,High school,1,Married,Housewife,Other,None,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Never,Sometimes,Not useful,2.00-2.49,2.50-2.99,First Semester,DD
STUDENT42,above 26,male,state,50%,Yes,No,No,USD 201-270,Bus,Dormitory,Primary school,University,2,Married,Housewife,Government officer,6-10 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not applicable,3.00-3.49,2.50-2.99,First Semester,DD
STUDENT43,22-25,male,state,50%,No,Yes,No,USD 135-200,Other,Dormitory,University,University,2,Married,Government officer,Retired,Less than 5 hours,Sometimes,None,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Never,Always,Not useful,2.00-2.49,2.50-2.99,First Semester,DD
STUDENT44,18-21,male,state,50%,No,No,Yes,USD 135-200,Bus,Rental,Secondary school,High school,3,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Never,Always,Not applicable,2.50-2.99,2.00-2.49,First Semester,CB
STUDENT45,22-25,male,other,50%,No,No,Yes,USD 135-200,Bus,Rental,Primary school,High school,2,Married,Housewife,Other,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,With friends,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,3.00-3.49,2.50-2.99,First Semester,DD
STUDENT46,18-21,male,state,50%,No,No,Yes,USD 341-410,Bus,Rental,Secondary school,High school,5 or above,Married,Housewife,Self-employment,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not useful,3.00-3.49,2.50-2.99,First Semester,CC
STUDENT47,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,Rental,Primary school,Secondary school,3,Married,Housewife,Other,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Always,Not useful,3.00-3.49,2.00-2.49,First Semester,BB
STUDENT48,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,Dormitory,University,High school,1,Married,Self-employment,Self-employment,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Never,Always,Useful,Above 3.49,2.50-2.99,First Semester,CC
STUDENT49,18-21,male,state,50%,No,Yes,Yes,USD 135-200,Bus,Dormitory,High school,High school,3,Married,Housewife,Government officer,None,None,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Useful,2.00-2.49,2.00-2.49,First Semester,DD
STUDENT50,18-21,male,private,75%,No,No,No,USD 201-270,Other,Rental,Secondary school,High school,2,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,With friends,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not useful,2.50-2.99,2.00-2.49,First Semester,DC
STUDENT51,22-25,male,state,50%,No,No,Yes,USD 201-270,Private car/taxi,Rental,Primary school,Primary school,2,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not applicable,2.50-2.99,2.50-2.99,First Semester,DD
STUDENT52,22-25,female,other,50%,Yes,Yes,No,USD 135-200,Bus,Rental,Primary school,Secondary school,5 or above,Married,Housewife,Retired,None,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Always,Always,Not useful,2.50-2.99,2.50-2.99,First Semester,CB
STUDENT53,22-25,female,state,50%,Yes,No,No,USD 201-270,Bus,Rental,Primary school,High school,4,Married,Housewife,Retired,6-10 hours,None,None,Yes,Positive,Always,Alone,Regularly during the semester,Sometimes,Sometimes,Sometimes,Not useful,3.00-3.49,2.00-2.49,First Semester,DD
STUDENT54,22-25,female,state,50%,No,Yes,No,USD 201-270,Bus,Rental,Primary school,Primary school,5 or above,Married,Housewife,Retired,None,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,2.50-2.99,2.00-2.49,First Semester,BB
STUDENT55,22-25,male,state,50%,No,No,No,USD 271-340,Other,Dormitory,Primary school,University,2,Married,Private sector employee,Government officer,Less than 5 hours,None,None,Yes,Positive,Always,Alone,Regularly during the semester,Always,Never,Always,Not useful,Above 3.49,2.50-2.99,First Semester,CC
STUDENT56,above 26,male,state,50%,Yes,No,Yes,USD 341-410,Bus,Dormitory,Primary school,Primary school,5 or above,Died (one of them or both),Housewife,Retired,None,Sometimes,Sometimes,Yes,Positive,Always,Not applicable,Never,Never,Always,Always,Not applicable,Above 3.49,3.00-3.49,First Semester,CC
STUDENT57,22-25,male,state,50%,No,Yes,No,USD 135-200,Bus,Rental,Primary school,High school,5 or above,Married,Housewife,Self-employment,11-20 hours,Sometimes,Often,Yes,Positive,Always,Alone,Regularly during the semester,Always,Sometimes,Always,Not applicable,Above 3.49,3.00-3.49,First Semester,BB
STUDENT58,22-25,male,state,50%,Yes,Yes,No,USD 135-200,Bus,Rental,University,Secondary school,3,Married,Government officer,Private sector employee,Less than 5 hours,Often,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Not useful,Above 3.49,3.00-3.49,First Semester,CB
STUDENT59,above 26,male,state,50%,No,No,Yes,USD 271-340,Bus,Rental,Primary school,High school,5 or above,Divorced,Housewife,Retired,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Useful,Above 3.49,3.00-3.49,First Semester,CC
STUDENT60,22-25,male,state,50%,No,Yes,Yes,USD 135-200,Bus,Rental,University,University,3,Married,Housewife,Private sector employee,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Useful,3.00-3.49,2.50-2.99,First Semester,BB
STUDENT61,22-25,female,state,50%,No,No,No,above 410,Private car/taxi,Rental,Ph.D.,Primary school,3,Married,Housewife,Private sector employee,None,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Never,Always,Always,Not useful,2.00-2.49,Less than 2.00,First Semester,DC
STUDENT62,18-21,male,other,50%,No,Yes,No,USD 201-270,Bus,Dormitory,Primary school,High school,4,Married,Housewife,Private sector employee,6-10 hours,None,Sometimes,Yes,Neutral,Sometimes,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Useful,3.00-3.49,3.00-3.49,First Semester,BB
STUDENT63,22-25,male,state,50%,No,No,No,USD 135-200,Other,Dormitory,Secondary school,High school,2,Married,Housewife,Self-employment,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Always,Always,Useful,Above 3.49,3.00-3.49,First Semester,CC
STUDENT64,22-25,male,state,75%,No,No,Yes,USD 201-270,Bus,Rental,Primary school,High school,3,Married,Housewife,Retired,None,None,Sometimes,Yes,Positive,Always,Not applicable,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not useful,2.50-2.99,2.50-2.99,First Semester,BB
STUDENT65,22-25,male,other,Full,No,No,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Retired,None,Sometimes,Sometimes,Yes,Neutral,Always,With friends,Closest date to the exam,Always,Sometimes,Always,Not useful,3.00-3.49,2.50-2.99,First Semester,CC
STUDENT66,18-21,male,state,50%,No,No,Yes,USD 271-340,Bus,Rental,Secondary school,University,3,Married,Housewife,Self-employment,None,None,Sometimes,Yes,Neutral,Sometimes,With friends,Closest date to the exam,Sometimes,Never,Sometimes,Not useful,2.00-2.49,2.00-2.49,First Semester,DC
STUDENT67,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,Rental,High school,Secondary school,5 or above,Married,Housewife,Other,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not applicable,Above 3.49,3.00-3.49,Second Semester,BB
STUDENT68,22-25,male,other,50%,Yes,Yes,No,USD 271-340,Bus,Dormitory,High school,University,4,Divorced,Housewife,Government officer,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Never,Useful,2.00-2.49,2.50-2.99,Second Semester,DD
STUDENT69,22-25,female,state,75%,Yes,No,No,USD 135-200,Bus,Rental,Secondary school,High school,5 or above,Died (one of them or both),Housewife,Other,None,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Always,Useful,3.00-3.49,2.50-2.99,Third Semester,BB
STUDENT70,22-25,female,state,75%,No,No,Yes,USD 135-200,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Private sector employee,None,None,Sometimes,Yes,Positive,Always,With friends,Closest date to the exam,Always,Sometimes,Always,Not useful,2.50-2.99,2.00-2.49,Third Semester,BB
STUDENT71,18-21,male,state,75%,No,Yes,Yes,USD 135-200,Bus,Rental,University,High school,1,Divorced,Private sector employee,Government officer,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Always,Not useful,Above 3.49,3.00-3.49,Third Semester,AA
STUDENT72,18-21,female,other,75%,No,No,No,USD 135-200,Bus,With family,Primary school,High school,5 or above,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,None,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Always,Always,Not applicable,2.00-2.49,2.00-2.49,Third Semester,BA
STUDENT73,18-21,male,state,50%,No,Yes,Yes,USD 135-200,Bus,Dormitory,Primary school,Primary school,2,Married,Housewife,Private sector employee,Less than 5 hours,Often,Often,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Always,Useful,2.50-2.99,2.50-2.99,Third Semester,BA
STUDENT74,22-25,male,state,75%,No,No,No,USD 135-200,Bus,Dormitory,Primary school,High school,4,Married,Housewife,Self-employment,6-10 hours,None,None,No,Positive,Always,Alone,Regularly during the semester,Always,Sometimes,Always,Not useful,Above 3.49,2.50-2.99,Third Semester,BA
STUDENT75,18-21,male,state,75%,No,No,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,3,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,No,Positive,Always,With friends,Closest date to the exam,Always,Sometimes,Always,Useful,2.50-2.99,2.50-2.99,Third Semester,AA
STUDENT76,18-21,male,state,75%,No,Yes,No,USD 135-200,Bus,With family,Primary school,MSc.,4,Married,Housewife,Government officer,6-10 hours,Often,None,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,3.00-3.49,Less than 2.00,Third Semester,AA
STUDENT77,22-25,male,private,25%,No,Yes,No,USD 201-270,Bus,Rental,MSc.,University,3,Married,Private sector employee,Private sector employee,Less than 5 hours,Often,Sometimes,Yes,Positive,Always,Not applicable,Regularly during the semester,Sometimes,Never,Sometimes,Not applicable,2.00-2.49,2.00-2.49,Fourth Semester,CB
STUDENT78,18-21,male,private,25%,No,No,Yes,USD 201-270,Private car/taxi,Dormitory,Ph.D.,MSc.,2,Married,Private sector employee,Government officer,Less than 5 hours,Sometimes,Sometimes,No,Positive,Sometimes,Not applicable,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,Less than 2.00,Less than 2.00,Fourth Semester,AA
STUDENT79,22-25,female,state,75%,Yes,Yes,No,USD 135-200,Bus,Rental,Primary school,High school,4,Married,Housewife,Self-employment,Less than 5 hours,Often,Often,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Always,Sometimes,Useful,2.00-2.49,2.00-2.49,Fourth Semester,CB
STUDENT80,22-25,male,state,75%,No,No,No,USD 135-200,Bus,Rental,Primary school,High school,4,Married,Housewife,Self-employment,None,Sometimes,Sometimes,Yes,Neutral,Always,Alone,Closest date to the exam,Always,Always,Always,Useful,3.00-3.49,3.00-3.49,Fourth Semester,CC
STUDENT81,22-25,female,state,50%,Yes,No,Yes,USD 135-200,Private car/taxi,Rental,Primary school,Primary school,2,Married,Housewife,Private sector employee,None,None,None,Yes,Neutral,Always,Alone,Closest date to the exam,Sometimes,Always,Never,Useful,3.00-3.49,2.00-2.49,Fifth Semester,CB
STUDENT82,above 26,male,state,50%,Yes,No,No,USD 135-200,Bus,Dormitory,Primary school,Secondary school,4,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Not applicable,Above 3.49,3.00-3.49,Fifth Semester,CC
STUDENT83,22-25,male,state,75%,Yes,No,Yes,USD 201-270,Bus,Rental,High school,Primary school,3,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Often,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Not applicable,3.00-3.49,2.50-2.99,Fifth Semester,AA
STUDENT84,22-25,male,other,50%,No,No,No,USD 271-340,Bus,Rental,University,University,2,Married,Retired,Government officer,None,Sometimes,Sometimes,Yes,Positive,Always,Not applicable,Closest date to the exam,Always,Sometimes,Always,Not applicable,Less than 2.00,2.00-2.49,Fifth Semester,AA
STUDENT85,above 26,male,other,50%,Yes,No,Yes,USD 271-340,Bus,Dormitory,University,Secondary school,5 or above,Died (one of them or both),Housewife,Retired,None,Sometimes,Sometimes,Yes,Positive,Always,Not applicable,Never,Always,Always,Always,Not applicable,Above 3.49,3.00-3.49,Fifth Semester,AA
STUDENT86,18-21,male,state,Full,No,No,No,USD 201-270,Bus,Rental,Primary school,Primary school,5 or above,Married,Housewife,Retired,None,None,None,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Not applicable,3.00-3.49,2.50-2.99,Fifth Semester,CB
STUDENT87,22-25,male,state,75%,No,No,No,USD 135-200,Other,Dormitory,High school,High school,2,Married,Private sector employee,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Useful,Above 3.49,3.00-3.49,Fifth Semester,BB
STUDENT88,22-25,male,state,50%,No,Yes,No,USD 201-270,Bus,Rental,High school,University,2,Married,Retired,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,With friends,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,Less than 2.00,Less than 2.00,Sixth Semester,BA
